State,County Name,Population
KY,Jackson County,13340
KY,Jefferson County,767452
KY,Jessamine County,54057
KY,Johnson County,22002
KY,Kenton County,167949
KY,Knott County,14512
KY,Knox County,31022
KY,Larue County,14431
KY,Laurel County,61238
KY,Lawrence County,15436
KY,Lee County,7268
KY,Leslie County,9637
KY,Letcher County,21213
KY,Lewis County,13262
KY,Lincoln County,24466
KY,Livingston County,9041
KY,Logan County,27416
KY,Lyon County,8133
KY,Madison County,94265
KY,Magoffin County,12017
KY,Marion County,19314
KY,Marshall County,31163
KY,Martin County,11031
KY,Mason County,17035
KY,McCracken County,65644
KY,McCreary County,17071
KY,McLean County,9075
KY,Meade County,28616
KY,Menifee County,6502
KY,Mercer County,21889
KY,Metcalfe County,10058
KY,Monroe County,10549
KY,Montgomery County,28186
KY,Morgan County,13142
KY,Muhlenberg County,30457
KY,Nelson County,46450
KY,Nicholas County,7234
KY,Ohio County,23899
KY,Oldham County,66999
KY,Owen County,11017
KY,Owsley County,4331
KY,Pendleton County,14586
KY,Perry County,25456
KY,Pike County,57057
KY,Powell County,12218
KY,Pulaski County,65530
KY,Robertson County,2136
KY,Rockcastle County,16750
KY,Rowan County,24682
KY,Russell County,17998
KY,Scott County,58470
KY,Shelby County,49611
KY,Simpson County,18635
KY,Spencer County,19585
KY,Taylor County,25707
KY,Todd County,12448
KY,Trigg County,14776
KY,Trimble County,8481
KY,Union County,14443
KY,WA County,12147
KY,Warren County,134510
KY,Wayne County,20209
KY,Webster County,12923
KY,Whitley County,36451
KY,Wolfe County,7106
KY,Woodford County,26765
LA,Acadia Parish,61918
LA,Allen Parish,25440
LA,Ascension Parish,128665
LA,Assumption Parish,21621
LA,Avoyelles Parish,39966
LA,Beauregard Parish,37881
LA,Bienville Parish,12983
LA,Bossier Parish,127275
LA,Caddo Parish,237479
LA,Calcasieu Parish,203310
LA,Caldwell Parish,9839
LA,Cameron Parish,7003
LA,Catahoula Parish,9226
LA,Claiborne Parish,15508
LA,Concordia Parish,18914
LA,De Soto Parish,27650
LA,East Baton Rouge Parish,439729
LA,East Carroll Parish,6589
LA,East Feliciana Parish,18882
LA,Evangeline Parish,33276
LA,Franklin Parish,19723
LA,Grant Parish,22254
LA,Iberia Parish,68991
LA,Iberville Parish,32070
LA,Jackson Parish,15574
LA,Jefferson Davis Parish,31208
LA,Jefferson Parish,432346
LA,Lafayette Parish,246518
LA,Lafourche Parish,97596
LA,LaSalle Parish,15021
LA,Lincoln Parish,46552
LA,Livingston Parish,143737
LA,Madison Parish,10635
LA,Morehouse Parish,24227
LA,Natchitoches Parish,37655
LA,Orleans Parish,389476
LA,Ouachita Parish,152439
LA,Plaquemines Parish,23113
LA,Pointe Coupee Parish,21529
LA,Rapides Parish,128567
LA,Red River Parish,8286
LA,Richland Parish,20014
LA,Sabine Parish,23803
LA,St. Bernard Parish,47647
LA,St. Charles Parish,52987
LA,St. Helena Parish,10081
LA,St. James Parish,20727
LA,St. John the Baptist Parish,42516
LA,St. Landry Parish,81440
LA,St. Martin Parish,52954
LA,St. Mary Parish,48330
LA,St. Tammany Parish,263446
LA,Tangipahoa Parish,136765
LA,Tensas Parish,4178
LA,Terrebonne Parish,109859
LA,Union Parish,22170
LA,Vermilion Parish,59378
LA,Vernon Parish,47894
LA,Washington Parish,45773
LA,Webster Parish,37943
LA,West Baton Rouge Parish,26792
LA,West Carroll Parish,10646
LA,West Feliciana Parish,15465
LA,Winn Parish,13839
MA,Barnstable County,213164
MA,Berkshire County,124571
MA,Bristol County,566765
MA,Dukes County,17461
MA,Essex County,791263
MA,Franklin County,70267
MA,Hampden County,463986
MA,Hampshire County,161401
MA,Middlesex County,1609379
MA,Nantucket County,11376
MA,Norfolk County,709409
MA,Plymouth County,523738
MA,Suffolk County,801582
MA,Worcester County,829212
MD,Allegany County,70057
MD,Anne Arundel County,582777
MD,Baltimore city,586131
MD,Baltimore County,826017
MD,Calvert County,93072
MD,Caroline County,33492
MD,Carroll County,169092
MD,Cecil County,103419
MD,Charles County,164436
MD,Dorchester County,31853
MD,Frederick County,265161
MD,Garrett County,28852
MD,Harford County,256805
MD,Howard County,328200
MD,Kent County,19192
MD,Montgomery County,1051816
MD,Prince George's County,909612
MD,Queen Anne's County,51167
MD,Somerset County,25453
MD,St. Mary's County,114687
MD,Talbot County,36972
MD,WA County,151146
MD,Wicomico County,103990
MD,Worcester County,52403
ME,Androscoggin County,108547
ME,Aroostook County,66804
ME,Cumberland County,298111
ME,Franklin County,29986
ME,Hancock County,55088
ME,Kennebec County,122955
ME,Knox County,39951
ME,Lincoln County,34775
ME,Oxford County,58132
ME,Penobscot County,151655
ME,Piscataquis County,16996
ME,Sagadahoc County,36044
ME,Somerset County,50635
ME,Waldo County,39923
ME,Washington County,31473
ME,York County,209066
MI,Alcona County,10505
MI,Alger County,9015
MI,Allegan County,118927
MI,Alpena County,28238
MI,Antrim County,23449
MI,Arenac County,14953
MI,Baraga County,8164
MI,Barry County,62061
MI,Bay County,102387
MI,Benzie County,17852
MI,Berrien County,153025
MI,Branch County,43424
MI,Calhoun County,133580
MI,Cass County,51584
MI,Charlevoix County,26105
MI,Cheboygan County,25365
MI,Chippewa County,36958
MI,Clare County,30771
MI,Clinton County,79753
MI,Crawford County,13981
MI,Delta County,35612
MI,Dickinson County,25112
MI,Eaton County,110148
MI,Emmet County,33342
MI,Genesee County,404794
MI,Gladwin County,25424
MI,Gogebic County,13842
MI,Grand Traverse County,93592
MI,Gratiot County,40283
MI,Hillsdale County,45658
MI,Houghton County,35126
MI,Huron County,30653
MI,Ingham County,290609
MI,Ionia County,64553
MI,Iosco County,25140
MI,Iron County,11066
MI,Isabella County,69504
MI,Jackson County,156920
MI,Kalamazoo County,265988
MI,Kalkaska County,18003
MI,Kent County,658708
MI,Keweenaw County,2119
MI,Lake County,11587
MI,Lapeer County,87635
MI,Leelanau County,21743
MI,Lenawee County,97808
MI,Livingston County,192335
MI,Luce County,6126
MI,Mackinac County,10839
MI,Macomb County,870791
MI,Manistee County,24738
MI,Marquette County,65834
MI,Mason County,29164
MI,Mecosta County,43907
MI,Menominee County,22608
MI,Midland County,83441
MI,Missaukee County,15152
MI,Monroe County,150568
MI,Montcalm County,63476
MI,Montmorency County,9337
MI,Muskegon County,173883
MI,Newaygo County,49348
MI,Oakland County,1253459
MI,Oceana County,26819
MI,Ogemaw County,20923
MI,Ontonagon County,5656
MI,Osceola County,23466
MI,Oscoda County,8368
MI,Otsego County,24765
MI,Ottawa County,294635
MI,Presque Isle County,12665
MI,Roscommon County,23986
MI,Saginaw County,189868
MI,Sanilac County,40747
MI,Schoolcraft County,8104
MI,Shiawassee County,67738
MI,St. Clair County,159293
MI,St. Joseph County,60848
MI,Tuscola County,52289
MI,Van Buren County,75474
MI,Washtenaw County,366473
MI,Wayne County,1740623
MI,Wexford County,33743
MN,Aitkin County,15848
MN,Anoka County,359921
MN,Becker County,34456
MN,Beltrami County,47442
MN,Benton County,40958
MN,Big Stone County,4923
MN,Blue Earth County,68241
MN,Brown County,24846
MN,Carlton County,35769
MN,Carver County,106565
MN,Cass County,29928
MN,Chippewa County,11758
MN,Chisago County,56794
MN,Clay County,64690
MN,Clearwater County,9017
MN,Cook County,5417
MN,Cottonwood County,11242
MN,Crow Wing County,65644
MN,Dakota County,431807
MN,Dodge County,20987
MN,Douglas County,38328
MN,Faribault County,13601
MN,Fillmore County,21135
MN,Freeborn County,30364
MN,Goodhue County,46318
MN,Grant County,6026
MN,Hennepin County,1268408
MN,Houston County,18632
MN,Hubbard County,21783
MN,Isanti County,41429
MN,Itasca County,45268
MN,Jackson County,9768
MN,Kanabec County,16416
MN,Kandiyohi County,43130
MN,Kittson County,4214
MN,Koochiching County,12059
MN,Lac qui Parle County,6527
MN,Lake County,10639
MN,Lake of the Woods County,3754
MN,Le Sueur County,28741
MN,Lincoln County,5568
MN,Lyon County,25271
MN,Mahnomen County,5473
MN,Marshall County,9321
MN,Martin County,19484
MN,McLeod County,35710
MN,Meeker County,23341
MN,Mille Lacs County,26146
MN,Morrison County,33187
MN,Mower County,40150
MN,Murray County,8155
MN,Nicollet County,34482
MN,Nobles County,21400
MN,Norman County,6338
MN,Olmsted County,159298
MN,Otter Tail County,58741
MN,Pennington County,13874
MN,Pine County,29359
MN,Pipestone County,9121
MN,Polk County,30900
MN,Pope County,11277
MN,Ramsey County,547903
MN,Red Lake County,4046
MN,Redwood County,15079
MN,Renville County,14403
MN,Rice County,67084
MN,Rock County,9301
MN,Roseau County,15117
MN,Scott County,150689
MN,Sherburne County,98811
MN,Sibley County,14715
MN,St. Louis County,198538
MN,Stearns County,162038
MN,Steele County,36596
MN,Stevens County,9765
MN,Swift County,9176
MN,Todd County,24732
MN,Traverse County,3218
MN,Wabasha County,21642
MN,Wadena County,13807
MN,Waseca County,18550
MN,Washington County,265476
MN,Watonwan County,10792
MN,Wilkin County,6161
MN,Winona County,50485
MN,Wright County,140249
MN,Yellow Medicine County,9580
MO,Adair County,25399
MO,Andrew County,17586
MO,Atchison County,5096
MO,Audrain County,24835
MO,Barry County,35818
MO,Barton County,11592
MO,Bates County,16242
MO,Benton County,19627
MO,Bollinger County,12111
MO,Boone County,182991
MO,Buchanan County,86530
MO,Butler County,42178
MO,Caldwell County,9051
MO,Callaway County,44887
MO,Camden County,46414
MO,Cape Girardeau County,79512
MO,Carroll County,8554
MO,Carter County,5991
MO,Cass County,106806
MO,Cedar County,14322
MO,Chariton County,7360
MO,Christian County,90655
MO,Clark County,6830
MO,Clay County,253463
MO,Clinton County,20553
MO,Cole County,76191
MO,Cooper County,17102
MO,Crawford County,23739
MO,Dade County,7568
MO,Dallas County,17219
MO,Daviess County,8283
MO,DeKalb County,10944
MO,Dent County,15481
MO,Douglas County,13344
MO,Dunklin County,28878
MO,Franklin County,104469
MO,Gasconade County,14566
MO,Gentry County,6484
MO,Greene County,294997
MO,Grundy County,9595
MO,Harrison County,8321
MO,Henry County,22076
MO,Hickory County,9586
MO,Holt County,4232
MO,Howard County,10001
MO,Howell County,40262
MO,Iron County,10098
MO,Jackson County,705925
MO,Jasper County,121648
MO,Jefferson County,226543
MO,Johnson County,54219
MO,Knox County,3940
MO,Laclede County,35895
MO,Lafayette County,33006
MO,Lawrence County,38175
MO,Lewis County,9810
MO,Lincoln County,60119
MO,Linn County,11830
MO,Livingston County,14413
MO,Macon County,15095
MO,Madison County,12113
MO,Maries County,8795
MO,Marion County,28423
MO,McDonald County,22900
MO,Mercer County,3558
MO,Miller County,25791
MO,Mississippi County,12691
MO,Moniteau County,15585
MO,Monroe County,8672
MO,Montgomery County,11294
MO,Morgan County,20716
MO,New Madrid County,16693
MO,Newton County,58451
MO,Nodaway County,21743
MO,Oregon County,10411
MO,Osage County,13535
MO,Ozark County,9083
MO,Pemiscot County,15600
MO,Perry County,19194
MO,Pettis County,42490
MO,Phelps County,44414
MO,Pike County,17552
MO,Platte County,106532
MO,Polk County,32490
MO,Pulaski County,52709
MO,Putnam County,4688
MO,Ralls County,10299
MO,Randolph County,24409
MO,Ray County,22915
MO,Reynolds County,6198
MO,Ripley County,13300
MO,Saline County,22858
MO,Schuyler County,4534
MO,Scotland County,4871
MO,Scott County,38288
MO,Shannon County,8203
MO,Shelby County,5919
MO,St. Charles County,406204
MO,St. Clair County,9689
MO,St. Francois County,66485
MO,St. Louis city,297645
MO,St. Louis County,994020
MO,Ste. Genevieve County,17924
MO,Stoddard County,29001
MO,Stone County,32465
MO,Sullivan County,6033
MO,Taney County,56104
MO,Texas County,25112
MO,Vernon County,20388
MO,WA County,24604
MO,Warren County,36594
MO,Wayne County,12769
MO,Webster County,39859
MO,Worth County,1953
MO,Wright County,18325
MS,Adams County,30275
MS,Alcorn County,36889
MS,Amite County,12205
MS,Attala County,18004
MS,Benton County,8351
MS,Bolivar County,30142
MS,Calhoun County,14241
MS,Carroll County,9732
MS,Chickasaw County,16951
MS,Choctaw County,8063
MS,Claiborne County,8911
MS,Clarke County,15299
MS,Clay County,19352
MS,Coahoma County,21564
MS,Copiah County,27933
MS,Covington County,18518
MS,DeSoto County,188275
MS,Forrest County,75009
MS,Franklin County,7657
MS,George County,24425
MS,Greene County,13477
MS,Grenada County,20610
MS,Hancock County,48000
MS,Harrison County,208801
MS,Hinds County,227966
MS,Holmes County,16726
MS,Humphreys County,7827
MS,Issaquena County,1220
MS,Itawamba County,23261
MS,Jackson County,143802
MS,Jasper County,16332
MS,Jefferson County,6997
MS,Jefferson Davis County,10890
MS,Jones County,67993
MS,Kemper County,9521
MS,Lafayette County,54408
MS,Lamar County,64165
MS,Lauderdale County,73751
MS,Lawrence County,12480
MS,Leake County,22741
MS,Lee County,85466
MS,Leflore County,27854
MS,Lincoln County,33936
MS,Lowndes County,58309
MS,Madison County,106871
MS,Marion County,24441
MS,Marshall County,35301
MS,Monroe County,35123
MS,Montgomery County,9661
MS,Neshoba County,28996
MS,Newton County,20866
MS,Noxubee County,10236
MS,Oktibbeha County,49789
MS,Panola County,33848
MS,Pearl River County,55876
MS,Perry County,11862
MS,Pike County,38997
MS,Pontotoc County,32461
MS,Prentiss County,25013
MS,Quitman County,6760
MS,Rankin County,155975
MS,Scott County,28061
MS,Sharkey County,4160
MS,Simpson County,26629
MS,Smith County,15779
MS,Stone County,18360
MS,Sunflower County,24740
MS,Tallahatchie County,13707
MS,Tate County,28539
MS,Tippah County,21748
MS,Tishomingo County,19275
MS,Tunica County,9392
MS,Union County,28866
MS,Walthall County,14294
MS,Warren County,44841
MS,Washington County,42837
MS,Wayne County,20317
MS,Webster County,9676
MS,Wilkinson County,8351
MS,Winston County,17845
MS,Yalobusha County,11982
MS,Yazoo County,26982
MT,Beaverhead County,9483
MT,Big Horn County,13063
MT,Blaine County,6568
MT,Broadwater County,6444
MT,Carbon County,10921
MT,Carter County,1235
MT,Cascade County,81346
MT,Chouteau County,5699
MT,Custer County,11292
MT,Daniels County,1638
MT,Dawson County,8555
MT,Deer Lodge County,9204
MT,Fallon County,2826
MT,Fergus County,11104
MT,Flathead County,105851
MT,Gallatin County,116806
MT,Garfield County,1268
MT,Glacier County,13594
MT,Golden Valley County,827
MT,Granite County,3317
MT,Hill County,16358
MT,Jefferson County,12360
MT,Judith Basin County,1994
MT,Lake County,30986
MT,Lewis and Clark County,70229
MT,Liberty County,2369
MT,Lincoln County,20343
MT,Madison County,8959
MT,McCone County,1648
MT,Meagher County,1831
MT,Mineral County,4544
MT,Missoula County,121630
MT,Musselshell County,4669
MT,Park County,16760
MT,Petroleum County,500
MT,Phillips County,3919
MT,Pondera County,5782
MT,Powder River County,1681
MT,Powell County,6817
MT,Prairie County,1067
MT,Ravalli County,45002
MT,Richland County,11043
MT,Roosevelt County,10964
MT,Rosebud County,8836
MT,Sanders County,12157
MT,Sheridan County,3261
MT,Silver Bow County,35180
MT,Stillwater County,9888
MT,Sweet Grass County,3684
MT,Teton County,6249
MT,Toole County,4686
MT,Treasure County,695
MT,Valley County,7359
MT,Wheatland County,2157
MT,Wibaux County,939
MT,Yellowstone County,162990
NC,Alamance County,171346
NC,Alexander County,37441
NC,Alleghany County,11194
NC,Anson County,24097
NC,Ashe County,27166
NC,Avery County,17571
NC,Beaufort County,47073
NC,Bertie County,18712
NC,Bladen County,32911
NC,Brunswick County,149039
NC,Buncombe County,263477
NC,Burke County,90418
NC,Cabarrus County,221479
NC,Caldwell County,82100
NC,Camden County,10984
NC,Carteret County,69558
NC,Caswell County,22443
NC,Catawba County,160307
NC,Chatham County,75748
NC,Cherokee County,29073
NC,Chowan County,13815
NC,Clay County,11505
NC,Cleveland County,99035
NC,Columbus County,54754
NC,Craven County,101233
NC,Cumberland County,336364
NC,Currituck County,29052
NC,Dare County,37547
NC,Davidson County,169234
NC,Davie County,43286
NC,Duplin County,58794
NC,Durham County,327306
NC,Edgecombe County,50829
NC,Forsyth County,383843
NC,Franklin County,71859
NC,Gaston County,226568
NC,Gates County,11464
NC,Graham County,8474
NC,Granville County,60486
NC,Greene County,20928
NC,Guilford County,540521
NC,Halifax County,49479
NC,Harnett County,137058
NC,Haywood County,62972
NC,Henderson County,118445
NC,Hertford County,23108
NC,Hoke County,55830
NC,Hyde County,4843
NC,Iredell County,185770
NC,Jackson County,44033
NC,Johnston County,216246
NC,Jones County,9250
NC,Lee County,62353
NC,Lenoir County,55720
NC,Lincoln County,88097
NC,Macon County,35994
NC,Madison County,21740
NC,Martin County,22178
NC,McDowell County,45782
NC,Mecklenburg County,1128945
NC,Mitchell County,14881
NC,Montgomery County,27238
NC,Moore County,103352
NC,Nash County,94859
NC,New Hanover County,236613
NC,Northampton County,19088
NC,Onslow County,203943
NC,Orange County,149077
NC,Pamlico County,12715
NC,Pasquotank County,40372
NC,Pender County,64671
NC,Perquimans County,13667
NC,Person County,39925
NC,Pitt County,182924
NC,Polk County,21030
NC,Randolph County,144557
NC,Richmond County,44332
NC,Robeson County,129999
NC,Rockingham County,91285
NC,Rowan County,142495
NC,Rutherford County,67076
NC,Sampson County,63382
NC,Scotland County,34637
NC,Stanly County,63239
NC,Stokes County,45743
NC,Surry County,71683
NC,Swain County,14179
NC,Transylvania County,34498
NC,Tyrrell County,3774
NC,Union County,244562
NC,Vance County,44718
NC,Wake County,1132271
NC,Warren County,19522
NC,Washington County,11485
NC,Watauga County,56441
NC,Wayne County,123967
NC,Wilkes County,68043
NC,Wilson County,81979
NC,Yadkin County,37625
NC,Yancey County,18099
ND,Adams County,2188
ND,Barnes County,10402
ND,Benson County,6762
ND,Billings County,890
ND,Bottineau County,6287
ND,Bowman County,2986
ND,Burke County,2118
ND,Burleigh County,96212
ND,Cass County,183904
ND,Cavalier County,3713
ND,Dickey County,4705
ND,Divide County,2277
ND,Dunn County,4465
ND,Eddy County,2179
ND,Emmons County,3187
ND,Foster County,3165
ND,Golden Valley County,1737
ND,Grand Forks County,69481
ND,Grant County,2215
ND,Griggs County,2207
ND,Hettinger County,2438
ND,Kidder County,2458
ND,LaMoure County,4033
ND,Logan County,1880
ND,McHenry County,5695
ND,McIntosh County,2440
ND,McKenzie County,15242
ND,McLean County,9416
ND,Mercer County,8174
ND,Morton County,31503
ND,Mountrail County,10502
ND,Nelson County,2789
ND,Oliver County,1926
ND,Pembina County,6658
ND,Pierce County,3928
ND,Ramsey County,11388
ND,Ransom County,5173
ND,Renville County,2283
ND,Richland County,16156
ND,Rolette County,14165
ND,Sargent County,3913
ND,Sheridan County,1275
ND,Sioux County,4173
ND,Slope County,747
ND,Stark County,32107
ND,Steele County,1890
ND,Stutsman County,20498
ND,Towner County,2108
ND,Traill County,7959
ND,Walsh County,10437
ND,Ward County,68466
ND,Wells County,3709
ND,Williams County,38700
NE,Adams County,31321
NE,Antelope County,6264
NE,Arthur County,466
NE,Banner County,786
NE,Blaine County,457
NE,Boone County,5096
NE,Box Butte County,10696
NE,Boyd County,1860
NE,Brown County,2981
NE,Buffalo County,50114
NE,Burt County,6477
NE,Butler County,7960
NE,Cass County,26232
NE,Cedar County,8414
NE,Chase County,3840
NE,Cherry County,5781
NE,Cheyenne County,9111
NE,Clay County,6216
NE,Colfax County,10587
NE,Cuming County,8798
NE,Custer County,10626
NE,Dakota County,20070
NE,Dawes County,8361
NE,Dawson County,23510
NE,Deuel County,1793
NE,Dixon County,5596
NE,Dodge County,36222
NE,Douglas County,574332
NE,Dundy County,1671
NE,Fillmore County,5519
NE,Franklin County,2940
NE,Frontier County,2587
NE,Furnas County,4653
NE,Gage County,21431
NE,Garden County,1847
NE,Garfield County,1956
NE,Gosper County,1986
NE,Grant County,630
NE,Greeley County,2319
NE,Hall County,61028
NE,Hamilton County,9237
NE,Harlan County,3311
NE,Hayes County,916
NE,Hitchcock County,2773
NE,Holt County,9956
NE,Hooker County,647
NE,Howard County,6488
NE,Jefferson County,7099
NE,Johnson County,5057
NE,Kearney County,6652
NE,Keith County,7983
NE,Keya Paha County,759
NE,Kimball County,3495
NE,Knox County,8304
NE,Lancaster County,320650
NE,Lincoln County,34347
NE,Logan County,747
NE,Loup County,650
NE,Madison County,34813
NE,McPherson County,474
NE,Merrick County,7809
NE,Morrill County,4625
NE,Nance County,3532
NE,Nemaha County,7044
NE,Nuckolls County,4134
NE,Otoe County,15965
NE,Pawnee County,2601
NE,Perkins County,2867
NE,Phelps County,9006
NE,Pierce County,7184
NE,Platte County,33364
NE,Polk County,5201
NE,Red Willow County,10627
NE,Richardson County,7791
NE,Rock County,1377
NE,Saline County,13987
NE,Sarpy County,188856
NE,Saunders County,21927
NE,Scotts Bluff County,35299
NE,Seward County,17186
NE,Sheridan County,5150
NE,Sherman County,2986
NE,Sioux County,1200
NE,Stanton County,5880
NE,Thayer County,4887
NE,Thomas County,739
NE,Thurston County,7220
NE,Valley County,4103
NE,WA County,20901
NE,Wayne County,9492
NE,Webster County,3419
NE,Wheeler County,790
NE,York County,13511
NH,Belknap County,61551
NH,Carroll County,49167
NH,Cheshire County,76228
NH,Coos County,31174
NH,Grafton County,90691
NH,Hillsborough County,418735
NH,Merrimack County,152622
NH,Rockingham County,311307
NH,Strafford County,131533
NH,Sullivan County,43267
NJ,Atlantic County,262945
NJ,Bergen County,930394
NJ,Burlington County,446596
NJ,Camden County,506809
NJ,Cape May County,91546
NJ,Cumberland County,147008
NJ,Essex County,800501
NJ,Gloucester County,293245
NJ,Hudson County,671666
NJ,Hunterdon County,124797
NJ,Mercer County,367239
NJ,Middlesex County,822736
NJ,Monmouth County,618381
NJ,Morris County,491087
NJ,Ocean County,614237
NJ,Passaic County,500382
NJ,Salem County,62451
NJ,Somerset County,329331
NJ,Sussex County,140002
NJ,Union County,555394
NJ,Warren County,105624
NM,Bernalillo County,681666
NM,Catron County,3623
NM,Chaves County,64711
NM,Cibola County,26354
NM,Colfax County,11927
NM,Curry County,48793
NM,De Baca County,1673
NM,Doña Ana County,221262
NM,Eddy County,58418
NM,Grant County,27007
NM,Guadalupe County,4275
NM,Harding County,638
NM,Hidalgo County,4106
NM,Lea County,71830
NM,Lincoln County,19939
NM,Los Alamos County,19462
NM,Luna County,23905
NM,McKinley County,70824
NM,Mora County,4478
NM,Otero County,67967
NM,Quay County,8197
NM,Rio Arriba County,38521
NM,Roosevelt County,18350
NM,San Juan County,123312
NM,San Miguel County,27144
NM,Sandoval County,148904
NM,Santa Fe County,151946
NM,Sierra County,10867
NM,Socorro County,16541
NM,Taos County,32593
NM,Torrance County,15486
NM,Union County,4026
NM,Valencia County,77574
NV,Carson City,56034
NV,Churchill County,25363
NV,Clark County,2315963
NV,Douglas County,49088
NV,Elko County,53006
NV,Esmeralda County,886
NV,Eureka County,2065
NV,Humboldt County,16962
NV,Lander County,5514
NV,Lincoln County,5159
NV,Lyon County,58319
NV,Mineral County,4518
NV,Nye County,48054
NV,Pershing County,6573
NV,Storey County,4207
NV,Washoe County,477082
NV,White Pine County,9466
NY,Albany County,303654
NY,Allegany County,45587
NY,Bronx County,1401142
NY,Broome County,189420
NY,Cattaraugus County,75863
NY,Cayuga County,76029
NY,Chautauqua County,126032
NY,Chemung County,82622
NY,Chenango County,46730
NY,Clinton County,79778
NY,Columbia County,59534
NY,Cortland County,47173
NY,Delaware County,43938
NY,Dutchess County,293293
NY,Erie County,917241
NY,Essex County,36891
NY,Franklin County,49965
NY,Fulton County,52812
NY,Genesee County,56994
NY,Greene County,47177
NY,Hamilton County,4345
NY,Herkimer County,60945
NY,Jefferson County,108095
NY,Kings County,2538934
NY,Lewis County,26187
NY,Livingston County,62398
NY,Madison County,70478
NY,Monroe County,740900
NY,Montgomery County,49170
NY,Nassau County,1351334
NY,New York County,1611989
NY,Niagara County,208396
NY,Oneida County,227346
NY,Onondaga County,459214
NY,Ontario County,110091
NY,Orange County,385234
NY,Orleans County,39978
NY,Oswego County,116346
NY,Otsego County,58701
NY,Putnam County,98532
NY,Queens County,2225821
NY,Rensselaer County,158108
NY,Richmond County,475327
NY,Rockland County,326225
NY,Saratoga County,230298
NY,Schenectady County,155358
NY,Schoharie County,31132
NY,Schuyler County,17685
NY,Seneca County,33991
NY,St. Lawrence County,107185
NY,Steuben County,94657
NY,Suffolk County,1474273
NY,Sullivan County,75802
NY,Tioga County,47904
NY,Tompkins County,101058
NY,Ulster County,177716
NY,WA County,60606
NY,Warren County,63756
NY,Wayne County,89339
NY,Westchester County,965802
NY,WY County,39465
NY,Yates County,24780
OH,Adams County,27531
OH,Allen County,101980
OH,Ashland County,53362
OH,Ashtabula County,96513
OH,Athens County,65481
OH,Auglaize County,45680
OH,Belmont County,65932
OH,Brown County,43414
OH,Butler County,385648
OH,Carroll County,26897
OH,Champaign County,38960
OH,Clark County,133593
OH,Clermont County,207449
OH,Clinton County,41921
OH,Columbiana County,101118
OH,Coshocton County,36449
OH,Crawford County,41338
OH,Cuyahoga County,1227883
OH,Darke County,51205
OH,Defiance County,37778
OH,Delaware County,213554
OH,Erie County,73719
OH,Fairfield County,159709
OH,Fayette County,28579
OH,Franklin County,1324624
OH,Fulton County,41889
OH,Gallia County,29802
OH,Geauga County,93271
OH,Greene County,170122
OH,Guernsey County,38779
OH,Hamilton County,817985
OH,Hancock County,75407
OH,Hardin County,31469
OH,Harrison County,15014
OH,Henry County,26904
OH,Highland County,43304
OH,Hocking County,28095
OH,Holmes County,44004
OH,Huron County,57979
OH,Jackson County,32493
OH,Jefferson County,64939
OH,Knox County,62423
OH,Lake County,229569
OH,Lawrence County,59091
OH,Licking County,178100
OH,Logan County,45326
OH,Lorain County,312172
OH,Lucas County,428294
OH,Madison County,44559
